SlackCoeff,CarbonSavings(%),EnergySavings(%),UtilizationRatio,AvgOptMakeSpan
1.0,18.447882462686568,1.828759328358209,55.02,103.6
1.5,43.68874074074074,3.0850925925925927,40.96,103.6
2.0,52.286314814814816,3.2766574074074075,31.1,103.6
