Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
88,TEX,True,109,109,1.0,109,119148.75,279.0,7.92,3.29
89,TEX,True,114,114,1.0,114,118992.75,270.25,8.62,2.88
90,TEX,True,100,100,1.0,100,92926.5,241.0,4.49,0.21
91,TEX,True,109,109,1.0,109,96264.25,256.5,6.08,2.29
92,TEX,True,124,124,1.0,124,84712.75,256.5,12.55,-1.08
93,TEX,True,117,117,1.0,117,77939.5,310.5,10.57,3.27
94,TEX,True,108,108,1.0,108,74396.0,291.5,8.1,2.67
95,TEX,True,95,95,1.0,95,58981.5,246.25,12.53,3.71
96,TEX,True,100,100,1.0,100,66406.75,300.0,4.35,1.4
97,TEX,True,91,91,1.0,91,60179.25,282.25,4.51,2.34
98,TEX,True,82,82,1.0,82,58874.5,278.75,4.81,0.54
99,TEX,True,98,98,1.0,98,50562.5,228.0,20.84,3.39
100,TEX,True,110,110,1.0,110,84672.75,338.25,2.02,1.6
101,TEX,True,123,123,1.0,123,80726.0,329.25,12.69,4.22
102,TEX,True,90,90,1.0,90,47362.25,254.25,5.93,2.68
103,TEX,True,95,95,1.0,95,44868.0,243.5,15.4,2.31
104,TEX,True,119,119,1.0,119,73307.25,359.0,3.02,0.62
105,TEX,True,100,100,1.0,100,66811.5,228.0,7.22,2.88
106,TEX,True,108,108,1.0,108,107750.75,355.25,6.8,0.63
107,TEX,True,98,98,1.0,98,84200.25,287.5,6.37,3.04
108,TEX,True,104,104,1.0,104,75091.5,227.75,13.17,3.19
109,TEX,True,103,103,1.0,103,108457.0,301.75,13.59,1.39
110,TEX,True,108,108,1.0,108,88160.0,260.5,9.61,0.38
111,TEX,True,108,108,1.0,108,59327.75,278.25,7.67,3.55
112,TEX,True,98,98,1.0,98,61277.0,291.25,3.54,1.85
113,TEX,True,89,89,1.0,89,58979.5,294.5,6.09,1.01
114,TEX,True,95,95,1.0,95,80287.5,266.0,3.21,-0.38
115,TEX,True,105,105,1.0,105,67102.75,235.75,14.76,6.63
116,TEX,True,98,98,1.0,98,64701.0,227.25,10.09,0.33
117,TEX,True,135,135,1.0,135,130879.0,374.0,13.91,2.73
118,TEX,True,109,109,1.0,109,73014.0,211.5,12.09,3.31
119,TEX,True,116,116,1.0,116,91982.5,280.75,9.33,2.85
120,TEX,True,99,99,1.0,99,91492.25,263.0,7.87,2.05
121,TEX,True,95,95,1.0,95,79934.75,233.75,4.49,2.3
122,TEX,True,96,96,1.0,96,73434.0,219.5,8.66,1.46
123,TEX,True,116,116,1.0,116,72570.5,280.5,17.04,6.5
124,TEX,True,85,85,1.0,85,81645.0,300.5,5.77,1.64
125,TEX,True,103,103,1.0,103,64388.0,259.0,16.03,5.04
126,TEX,True,114,114,1.0,114,112396.25,309.0,3.22,0.8
127,TEX,True,115,115,1.0,115,121363.25,327.5,2.14,1.65
128,TEX,True,112,112,1.0,112,99002.0,272.5,7.28,6.03
129,TEX,True,99,99,1.0,99,133633.0,387.75,5.92,2.45
130,TEX,True,100,100,1.0,100,106936.0,331.0,9.32,3.85
131,TEX,True,103,103,1.0,103,70447.0,250.0,22.79,2.91
132,TEX,True,117,117,1.0,117,84059.0,366.5,10.79,2.85
133,TEX,True,117,117,1.0,117,74164.0,324.25,8.39,2.85
134,TEX,True,97,97,1.0,97,48817.0,235.25,13.64,2.28
135,TEX,True,120,120,1.0,120,105961.0,310.5,6.21,2.51
136,TEX,True,111,111,1.0,111,90284.75,268.0,8.15,6.21
137,TEX,True,110,110,1.0,110,93275.75,259.25,5.16,3.53
138,TEX,True,103,103,1.0,103,95020.25,367.0,3.55,0.54
139,TEX,True,114,114,1.0,114,86469.75,335.0,4.62,0.3
140,TEX,True,89,89,1.0,89,73618.5,297.75,5.23,2.85
141,TEX,True,105,105,1.0,105,64141.0,256.5,5.82,0.68
142,TEX,True,100,100,1.0,100,73775.0,319.0,9.41,2.52
143,TEX,True,121,121,1.0,121,92897.0,313.5,7.79,3.69
