Location,CarbonSavings(%),EnergySavings(%),UtilizationRatio,AvgMakeSpan
AU-SA,18.34749766573296,1.7743697478991596,54.79,103.57
CA-ON,10.351051162790696,3.0643906976744186,54.55,103.57
CAL,16.103283858998143,2.7700185528756958,56.69,103.59
TEX,7.966236059479554,3.374600371747212,56.11,103.58
