Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
77,TEX,True,128,128,1.0,128,30129.25,71.5,6.9,0.0
78,TEX,True,110,110,1.0,110,17495.75,59.25,19.58,0.0
79,TEX,True,99,99,1.0,99,15824.75,55.5,13.07,0.0
80,TEX,True,116,116,1.0,116,23868.25,72.0,11.57,0.0
81,TEX,True,132,132,1.0,132,28221.75,74.25,20.47,0.0
82,TEX,True,123,123,1.0,123,25819.5,64.75,17.93,0.0
83,TEX,True,124,124,1.0,124,25450.25,66.25,11.88,0.0
84,TEX,True,126,126,1.0,126,30383.0,77.25,4.41,0.0
85,TEX,True,128,128,1.0,128,21614.0,57.0,8.55,0.0
86,TEX,True,119,119,1.0,119,28364.5,72.75,7.93,0.0
87,TEX,True,112,112,1.0,112,23458.25,55.5,7.97,0.0
88,TEX,True,127,127,1.0,127,28852.25,68.25,8.2,0.0
89,TEX,True,134,134,1.0,134,28435.25,67.75,8.83,0.0
90,TEX,True,111,111,1.0,111,21480.75,59.75,12.8,0.0
91,TEX,True,140,140,1.0,140,18678.0,63.0,18.79,0.0
92,TEX,True,150,150,1.0,150,17991.75,62.75,23.93,0.0
93,TEX,True,129,129,1.0,129,17762.5,77.0,11.68,0.0
94,TEX,True,115,115,1.0,115,17860.75,71.5,6.63,0.0
95,TEX,True,113,113,1.0,113,14529.5,61.0,14.51,0.0
96,TEX,True,109,109,1.0,109,17293.25,74.0,2.3,0.0
97,TEX,True,101,101,1.0,101,15064.5,69.25,5.86,0.0
98,TEX,True,85,85,1.0,85,14175.5,67.75,4.6,0.0
99,TEX,True,108,108,1.0,108,12350.25,55.75,18.72,0.0
100,TEX,True,122,122,1.0,122,19888.5,81.75,5.12,0.0
101,TEX,True,150,150,1.0,150,17810.0,81.75,16.94,0.0
102,TEX,True,99,99,1.0,99,11451.5,62.25,10.01,0.0
103,TEX,True,101,101,1.0,101,10868.5,59.25,14.14,0.0
104,TEX,True,147,147,1.0,147,17782.25,88.0,7.36,0.0
105,TEX,True,110,110,1.0,110,17016.75,56.0,9.76,0.0
106,TEX,True,143,143,1.0,143,27435.0,86.25,5.9,0.0
107,TEX,True,108,108,1.0,108,21650.75,70.75,8.42,0.0
108,TEX,True,112,112,1.0,112,17185.25,55.5,16.44,0.0
109,TEX,True,111,111,1.0,111,24959.25,74.0,16.83,0.0
110,TEX,True,131,131,1.0,131,17364.0,64.25,25.55,0.0
111,TEX,True,122,122,1.0,122,15200.5,68.0,14.43,0.0
112,TEX,True,106,106,1.0,106,15114.0,71.0,7.81,0.0
113,TEX,True,94,94,1.0,94,14427.25,71.5,10.24,0.0
114,TEX,True,98,98,1.0,98,19465.75,64.0,4.45,0.0
115,TEX,True,118,118,1.0,118,15690.5,57.75,11.3,0.0
116,TEX,True,105,105,1.0,105,16299.25,56.5,9.06,0.0
117,TEX,True,186,186,1.0,186,29828.0,93.5,8.03,0.0
118,TEX,True,128,128,1.0,128,18575.25,53.5,4.22,0.0
119,TEX,True,135,135,1.0,135,22294.25,70.0,6.5,0.0
120,TEX,True,107,107,1.0,107,22080.5,64.5,8.93,0.0
121,TEX,True,106,106,1.0,106,19311.75,57.0,7.84,0.0
122,TEX,True,100,100,1.0,100,17478.75,52.5,10.38,0.0
123,TEX,True,125,125,1.0,125,17369.0,69.25,13.17,0.0
124,TEX,True,96,96,1.0,96,19028.5,74.25,7.0,0.0
125,TEX,True,111,111,1.0,111,15704.25,63.0,14.07,0.0
126,TEX,True,123,123,1.0,123,28390.25,75.25,4.56,0.0
127,TEX,True,136,136,1.0,136,29278.25,81.75,8.82,0.0
128,TEX,True,123,123,1.0,123,24953.75,67.5,2.38,0.0
129,TEX,True,109,109,1.0,109,31387.75,94.25,7.22,0.0
130,TEX,True,125,125,1.0,125,22120.5,80.5,18.92,0.0
131,TEX,True,119,119,1.0,119,15419.0,61.25,30.75,0.0
132,TEX,True,152,152,1.0,152,21035.25,89.75,8.16,0.0
133,TEX,True,153,153,1.0,153,18736.5,80.0,5.84,0.0
134,TEX,True,104,104,1.0,104,11931.0,57.25,8.42,0.0
135,TEX,True,154,154,1.0,154,21282.25,76.25,20.37,0.0
136,TEX,True,116,116,1.0,116,22318.25,66.75,4.56,0.0
137,TEX,True,121,121,1.0,121,21252.75,64.0,4.83,0.0
138,TEX,True,110,110,1.0,110,23309.5,89.25,3.39,0.0
139,TEX,True,129,129,1.0,129,20661.25,81.75,5.38,0.0
140,TEX,True,111,111,1.0,111,17870.25,72.0,5.18,0.0
141,TEX,True,113,113,1.0,113,16841.5,62.75,4.31,0.0
142,TEX,True,112,112,1.0,112,18242.0,77.25,13.31,0.0
143,TEX,True,146,146,1.0,146,23653.0,77.25,11.33,0.0
144,TEX,True,117,117,1.0,117,14289.75,49.5,22.62,0.0
145,TEX,True,122,122,1.0,122,19375.75,65.5,14.49,0.0
146,TEX,True,107,107,1.0,107,24128.0,73.0,12.77,0.0
147,TEX,True,175,175,1.0,175,20575.0,79.0,18.32,0.0
148,TEX,True,102,102,1.0,102,14187.75,55.0,10.32,0.0
149,TEX,True,128,128,1.0,128,19215.0,71.75,9.01,0.0
150,TEX,True,112,112,1.0,112,10773.5,48.5,21.24,0.0
151,TEX,True,110,110,1.0,110,13713.75,59.25,19.68,0.0
152,TEX,True,121,121,1.0,121,15881.0,71.5,16.2,0.0
153,TEX,True,116,116,1.0,116,19041.75,103.25,5.88,0.0
154,TEX,True,83,83,1.0,83,11918.25,68.25,13.78,0.0
155,TEX,True,123,123,1.0,123,15216.25,84.25,6.75,0.0
156,TEX,True,117,117,1.0,117,15634.5,65.25,5.77,0.0
157,TEX,True,147,147,1.0,147,19496.0,81.25,10.03,0.0
158,TEX,True,100,100,1.0,100,14862.0,69.5,5.0,0.0
159,TEX,True,115,115,1.0,115,29878.25,83.75,1.65,0.0
160,TEX,True,114,114,1.0,114,23757.25,70.5,7.98,0.0
161,TEX,True,112,112,1.0,112,25633.75,75.5,4.26,0.0
162,TEX,True,120,120,1.0,120,8995.75,55.0,27.72,0.0
163,TEX,True,115,115,1.0,115,9634.5,57.5,47.18,0.0
164,TEX,True,115,115,1.0,115,10933.25,63.25,34.42,0.0
165,TEX,True,108,108,1.0,108,9128.75,50.5,11.95,0.0
166,TEX,True,110,110,1.0,110,11679.25,65.25,12.33,0.0
167,TEX,True,155,155,1.0,155,16034.75,82.25,13.29,0.0
168,TEX,True,124,124,1.0,124,17724.25,75.25,9.87,0.0
169,TEX,True,110,110,1.0,110,16037.25,70.75,7.84,0.0
170,TEX,True,113,113,1.0,113,13881.0,60.5,12.85,0.0
171,TEX,True,132,132,1.0,132,19145.25,84.5,5.25,0.0
172,TEX,True,108,108,1.0,108,16003.5,68.0,3.81,0.0
173,TEX,True,134,134,1.0,134,13323.25,60.0,6.73,0.0
174,TEX,True,104,104,1.0,104,16102.75,59.25,2.94,0.0
175,TEX,True,115,115,1.0,115,14529.75,56.5,7.16,0.0
176,TEX,True,114,114,1.0,114,17716.75,72.5,8.88,0.0
177,TEX,True,113,113,1.0,113,22816.75,59.0,3.96,0.0
178,TEX,True,116,116,1.0,116,26843.25,69.5,5.96,0.0
179,TEX,True,124,124,1.0,124,26087.0,69.75,5.49,0.0
180,TEX,True,110,110,1.0,110,21429.25,76.0,7.15,0.0
181,TEX,True,147,147,1.0,147,19627.0,76.75,12.44,0.0
182,TEX,True,102,102,1.0,102,19261.75,69.0,6.2,0.0
183,TEX,True,121,121,1.0,121,11393.0,55.5,12.79,0.0
184,TEX,True,99,99,1.0,99,16805.0,76.75,3.58,0.0
185,TEX,True,111,111,1.0,111,11799.25,53.25,3.82,0.0
186,TEX,True,89,89,1.0,89,9937.5,54.0,4.19,0.0
187,TEX,True,112,112,1.0,112,16770.0,84.75,7.03,0.0
188,TEX,True,123,123,1.0,123,19518.0,87.75,1.92,0.0
189,TEX,True,108,108,1.0,108,19005.0,56.0,3.69,0.0
190,TEX,True,128,128,1.0,128,23044.25,78.5,4.95,0.0
191,TEX,True,120,120,1.0,120,18396.25,57.5,9.04,0.0
192,TEX,True,122,122,1.0,122,31079.75,88.25,4.06,0.0
193,TEX,True,113,113,1.0,113,20663.0,61.25,14.26,0.0
194,TEX,True,111,111,1.0,111,22893.0,67.0,11.63,0.0
195,TEX,True,125,125,1.0,125,22549.25,67.75,10.32,0.0
