Location,CarbonSavings(%),EnergySavings(%),UtilizationRatio,AvgMakeSpan
AU-SA,24.63898148148148,0.0,47.15,117.73
CA-ON,10.788953703703703,0.0,47.15,117.73
CAL,19.07537962962963,0.0,47.15,117.73
TEX,7.675324074074075,0.0,47.15,117.72
