Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
51,True,98,98,1.0,98,35384.0,290.5,31.73,2.19
51,True,118,98,1.2,118,24843.0,289.25,52.07,2.61
51,True,147,98,1.5,142,26509.5,287.75,48.85,3.11
51,True,196,98,2.0,196,18083.75,296.25,65.11,0.25
52,True,104,104,1.0,104,58494.75,360.75,5.08,1.77
52,True,125,104,1.2,125,35949.25,357.25,41.66,2.72
52,True,156,104,1.5,156,38220.75,352.75,37.98,3.95
52,True,208,104,2.0,208,22219.25,370.25,63.94,-0.82
53,True,119,119,1.0,119,40697.25,356.75,30.16,0.14
53,True,143,119,1.2,143,36802.75,356.25,36.85,0.28
53,True,179,119,1.5,179,27268.75,360.0,53.21,-0.77
53,True,238,119,2.0,238,42670.25,373.5,26.78,-4.55
54,True,99,99,1.0,99,16553.0,246.0,59.98,-0.31
54,True,119,99,1.2,119,12437.25,252.75,69.93,-3.06
54,True,149,99,1.5,145,13200.5,248.75,68.09,-1.43
54,True,198,99,2.0,198,14473.75,252.0,65.01,-2.75
55,True,105,105,1.0,105,15023.75,264.25,54.41,1.03
55,True,126,105,1.2,126,13231.5,267.25,59.85,-0.09
55,True,158,105,1.5,136,13734.75,269.5,58.32,-0.94
55,True,210,105,2.0,210,19846.75,262.5,39.78,1.69
56,True,121,121,1.0,121,11119.75,224.5,65.25,1.21
56,True,146,121,1.2,128,11889.0,232.75,62.84,-2.42
56,True,182,121,1.5,129,12421.5,235.75,61.18,-3.74
56,True,242,121,2.0,242,19523.0,233.25,38.98,-2.64
57,True,99,99,1.0,99,31480.75,201.25,17.42,0.12
57,True,119,99,1.2,119,15939.0,199.75,58.19,0.87
57,True,149,99,1.5,149,11781.5,202.0,69.09,-0.25
57,True,198,99,2.0,198,10608.5,202.0,72.17,-0.25
58,True,113,113,1.0,113,51482.0,341.25,5.66,1.23
58,True,136,113,1.2,136,30800.75,341.75,43.56,1.09
58,True,170,113,1.5,170,20583.0,336.0,62.28,2.75
58,True,226,113,2.0,223,20635.0,350.5,62.19,-1.45
59,True,95,95,1.0,95,59027.75,305.5,6.49,3.09
59,True,114,95,1.2,114,41831.75,303.5,33.73,3.73
59,True,143,95,1.5,143,22475.75,305.0,64.39,3.25
59,True,190,95,2.0,190,19542.25,311.75,69.04,1.11
60,True,102,102,1.0,102,12319.5,282.0,7.05,1.4
60,True,123,102,1.2,123,12935.75,282.25,2.4,1.31
60,True,153,102,1.5,151,13763.75,280.75,-3.84,1.84
60,True,204,102,2.0,163,13100.5,287.75,1.16,-0.61
61,True,101,101,1.0,101,14461.75,325.0,6.63,0.54
61,True,122,101,1.2,121,15086.5,323.5,2.6,0.99
61,True,152,101,1.5,108,15316.0,327.75,1.12,-0.31
61,True,202,101,2.0,166,15904.5,326.25,-2.68,0.15
62,True,91,91,1.0,91,15990.0,342.25,6.38,0.22
62,True,110,91,1.2,109,15589.25,337.25,8.73,1.68
62,True,137,91,1.5,124,16184.75,338.5,5.24,1.31
62,True,182,91,2.0,172,16708.5,347.25,2.17,-1.24
63,True,122,122,1.0,122,36918.5,376.75,7.09,0.2
63,True,147,122,1.2,147,39777.0,377.0,-0.11,0.13
63,True,183,122,1.5,132,42545.25,378.25,-7.08,-0.2
63,True,244,122,2.0,133,48544.75,387.5,-22.18,-2.65
64,True,106,106,1.0,106,27941.0,322.5,24.97,2.42
64,True,128,106,1.2,125,28499.25,319.25,23.48,3.4
64,True,159,106,1.5,159,31943.5,315.25,14.23,4.61
64,True,212,106,2.0,112,31632.25,327.0,15.06,1.06
65,True,98,98,1.0,98,16463.0,216.75,27.38,1.59
65,True,118,98,1.2,117,15764.25,216.0,30.46,1.93
