Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%),Group
261,True,234,117,2.0,234,32380.25,346.0,19.95,4.62,Carbon-Aware
262,True,107,107,1.0,107,30015.75,333.25,25.57,0.82,Carbon-Aware
262,True,161,107,1.5,127,29234.5,325.25,27.51,3.2,Carbon-Aware
262,True,214,107,2.0,212,27737.5,329.0,31.22,2.08,Carbon-Aware
263,True,114,114,1.0,114,18834.0,202.0,16.43,5.94,Carbon-Aware
263,True,171,114,1.5,171,19799.25,201.5,12.15,6.17,Carbon-Aware
263,True,228,114,2.0,224,17147.5,197.5,23.92,8.03,Carbon-Aware
264,True,101,101,1.0,101,92912.0,326.75,4.23,1.58,Carbon-Aware
264,True,152,101,1.5,152,51799.75,324.75,46.61,2.18,Carbon-Aware
264,True,202,101,2.0,202,40933.75,327.0,57.81,1.51,Carbon-Aware
265,True,108,108,1.0,108,45926.25,218.75,15.74,4.06,Carbon-Aware
265,True,162,108,1.5,160,28384.0,226.25,47.93,0.77,Carbon-Aware
265,True,216,108,2.0,214,20109.5,222.25,63.11,2.52,Carbon-Aware
266,True,100,100,1.0,100,55474.0,215.0,16.66,0.35,Carbon-Aware
266,True,150,100,1.5,150,26496.0,212.25,60.2,1.62,Carbon-Aware
266,True,200,100,2.0,200,24202.0,208.5,63.64,3.36,Carbon-Aware
267,True,99,99,1.0,99,60676.0,255.5,17.49,2.2,Carbon-Aware
267,True,149,99,1.5,149,34720.75,245.25,52.78,6.12,Carbon-Aware
267,True,198,99,2.0,198,29469.25,253.75,59.92,2.87,Carbon-Aware
268,True,116,116,1.0,116,38798.25,264.25,21.94,0.09,Carbon-Aware
268,True,174,116,1.5,174,39437.0,255.25,20.66,3.5,Carbon-Aware
268,True,232,116,2.0,232,19788.75,261.25,60.19,1.23,Carbon-Aware
269,True,111,111,1.0,111,55240.0,323.0,34.83,3.65,Carbon-Aware
269,True,167,111,1.5,167,46572.75,318.0,45.05,5.15,Carbon-Aware
269,True,222,111,2.0,222,30343.0,316.75,64.2,5.52,Carbon-Aware
270,True,124,124,1.0,124,81354.5,362.5,9.08,0.55,Carbon-Aware
270,True,186,124,1.5,180,22923.0,368.0,74.38,-0.96,Carbon-Aware
270,True,248,124,2.0,228,22036.0,357.0,75.37,2.06,Carbon-Aware
271,True,110,110,1.0,110,63024.0,281.75,12.1,2.68,Carbon-Aware
271,True,165,110,1.5,165,19137.0,286.75,73.31,0.95,Carbon-Aware
271,True,220,110,2.0,220,17143.5,284.5,76.09,1.73,Carbon-Aware
272,True,103,103,1.0,103,90707.5,344.25,12.21,0.79,Carbon-Aware
272,True,155,103,1.5,155,24986.0,345.5,75.82,0.43,Carbon-Aware
272,True,206,103,2.0,206,21236.5,342.5,79.45,1.3,Carbon-Aware
273,True,106,106,1.0,106,18860.5,284.25,6.13,2.24,Carbon-Aware
273,True,159,106,1.5,128,17621.25,287.5,12.3,1.12,Carbon-Aware
273,True,212,106,2.0,128,17500.75,281.25,12.9,3.27,Carbon-Aware
274,True,90,90,1.0,90,18508.25,285.5,1.93,0.87,Carbon-Aware
274,True,135,90,1.5,128,16640.0,272.75,11.83,5.3,Carbon-Aware
274,True,180,90,2.0,128,16626.5,272.5,11.9,5.38,Carbon-Aware
275,True,114,114,1.0,114,18877.25,306.25,6.01,0.57,Carbon-Aware
275,True,171,114,1.5,132,18817.25,305.25,6.31,0.89,Carbon-Aware
275,True,228,114,2.0,128,18378.75,301.5,8.49,2.11,Carbon-Aware
276,True,99,99,1.0,99,67093.5,249.5,25.81,1.19,Carbon-Aware
276,True,149,99,1.5,149,32234.25,251.75,64.36,0.3,Carbon-Aware
276,True,198,99,2.0,198,25139.75,250.0,72.2,0.99,Carbon-Aware
277,True,92,92,1.0,92,110660.0,247.75,3.87,2.65,Carbon-Aware
277,True,138,92,1.5,138,49818.75,240.75,56.72,5.4,Carbon-Aware
277,True,184,92,2.0,184,50148.25,238.25,56.44,6.39,Carbon-Aware
278,True,106,106,1.0,106,92587.75,317.5,23.78,4.3,Carbon-Aware
278,True,159,106,1.5,159,62045.0,311.5,48.92,6.1,Carbon-Aware
278,True,212,106,2.0,212,33071.75,320.75,72.77,3.32,Carbon-Aware
279,True,114,114,1.0,114,55741.25,289.75,19.67,2.44,Carbon-Aware
279,True,171,114,1.5,160,29864.0,288.0,56.96,3.03,Carbon-Aware
279,True,228,114,2.0,222,18325.75,295.75,73.59,0.42,Carbon-Aware
280,True,118,118,1.0,118,50790.5,307.0,30.97,0.73,Carbon-Aware
280,True,177,118,1.5,169,31483.0,305.25,57.21,1.29,Carbon-Aware
280,True,236,118,2.0,236,21178.0,306.25,71.22,0.97,Carbon-Aware
281,True,76,76,1.0,76,77977.5,205.0,8.47,4.65,Carbon-Aware
281,True,114,76,1.5,114,30391.5,204.25,64.33,5.0,Carbon-Aware
281,True,152,76,2.0,152,16225.0,202.25,80.95,5.93,Carbon-Aware
282,True,103,103,1.0,103,47087.75,286.0,14.46,1.97,Carbon-Aware
282,True,155,103,1.5,144,22265.5,282.0,59.55,3.34,Carbon-Aware
282,True,206,103,2.0,206,18822.75,285.75,65.81,2.06,Carbon-Aware
283,True,112,112,1.0,112,26422.0,244.25,26.97,0.51,Carbon-Aware
283,True,168,112,1.5,152,16463.0,238.25,54.5,2.95,Carbon-Aware
283,True,224,112,2.0,220,14118.5,242.0,60.98,1.43,Carbon-Aware
284,True,117,117,1.0,117,43517.5,339.75,26.26,2.37,Carbon-Aware
284,True,176,117,1.5,175,35174.25,329.75,40.39,5.24,Carbon-Aware
284,True,234,117,2.0,234,26191.75,335.75,55.62,3.52,Carbon-Aware
285,True,106,106,1.0,106,78010.25,251.75,7.06,-1.72,Carbon-Aware
285,True,159,106,1.5,159,26943.0,245.0,67.9,1.01,Carbon-Aware
285,True,212,106,2.0,212,19322.25,242.25,76.98,2.12,Carbon-Aware
286,True,107,107,1.0,107,102020.5,348.5,1.15,0.36,Carbon-Aware
286,True,161,107,1.5,157,45369.0,346.0,56.04,1.07,Carbon-Aware
286,True,214,107,2.0,214,33624.5,344.5,67.42,1.5,Carbon-Aware
287,True,107,107,1.0,107,34623.5,226.25,39.25,-0.11,Carbon-Aware
287,True,161,107,1.5,152,17857.5,220.75,68.67,2.32,Carbon-Aware
287,True,214,107,2.0,214,13946.25,223.0,75.53,1.33,Carbon-Aware
288,True,106,106,1.0,106,60978.0,296.5,25.14,3.5,Carbon-Aware
288,True,159,106,1.5,140,36530.75,295.0,55.15,3.99,Carbon-Aware
288,True,212,106,2.0,212,23736.5,299.0,70.86,2.69,Carbon-Aware
289,True,92,92,1.0,92,89410.5,296.75,6.22,1.9,Carbon-Aware
289,True,138,92,1.5,138,33412.75,297.5,64.95,1.65,Carbon-Aware
289,True,184,92,2.0,184,40359.0,283.75,57.67,6.2,Carbon-Aware
290,True,106,106,1.0,106,83014.5,295.0,3.6,2.96,Carbon-Aware
290,True,159,106,1.5,154,41888.25,279.25,51.36,8.14,Carbon-Aware
290,True,212,106,2.0,212,27333.5,282.75,68.26,6.99,Carbon-Aware
291,True,112,112,1.0,112,32111.25,196.75,42.12,4.02,Carbon-Aware
291,True,168,112,1.5,168,14183.5,195.75,74.44,4.51,Carbon-Aware
291,True,224,112,2.0,221,10791.25,199.25,80.55,2.8,Carbon-Aware
292,True,78,78,1.0,78,73584.75,244.75,23.89,1.31,Carbon-Aware
292,True,117,78,1.5,117,22390.0,238.0,76.84,4.03,Carbon-Aware
292,True,156,78,2.0,156,16566.25,242.5,82.87,2.22,Carbon-Aware
293,True,115,115,1.0,115,70114.75,262.25,23.31,0.47,Carbon-Aware
293,True,173,115,1.5,173,28792.75,262.25,68.51,0.47,Carbon-Aware
293,True,230,115,2.0,221,16580.0,258.0,81.87,2.09,Carbon-Aware
294,True,99,99,1.0,99,46469.0,251.0,6.69,-0.2,Carbon-Aware
294,True,149,99,1.5,140,22900.5,246.5,54.02,1.6,Carbon-Aware
294,True,198,99,2.0,198,23537.0,245.75,52.74,1.9,Carbon-Aware
295,True,104,104,1.0,104,39147.0,262.25,26.51,0.57,Carbon-Aware
295,True,156,104,1.5,155,23358.75,255.25,56.15,3.22,Carbon-Aware
295,True,208,104,2.0,208,22926.5,257.25,56.96,2.46,Carbon-Aware
296,True,92,92,1.0,92,70394.75,309.75,2.61,1.59,Carbon-Aware
296,True,138,92,1.5,138,38127.75,299.5,47.25,4.85,Carbon-Aware
296,True,184,92,2.0,151,39811.75,301.5,44.92,4.21,Carbon-Aware
297,True,102,102,1.0,102,64721.5,268.0,21.75,0.46,Carbon-Aware
297,True,153,102,1.5,153,36207.75,264.75,56.23,1.67,Carbon-Aware
297,True,204,102,2.0,204,33377.25,265.0,59.65,1.58,Carbon-Aware
298,True,110,110,1.0,110,62269.0,259.5,9.27,4.86,Carbon-Aware
298,True,165,110,1.5,163,34919.0,255.25,49.12,6.42,Carbon-Aware
298,True,220,110,2.0,220,24775.25,261.75,63.9,4.03,Carbon-Aware
299,True,102,102,1.0,102,76350.75,285.75,26.14,0.44,Carbon-Aware
299,True,153,102,1.5,153,43938.0,282.75,57.5,1.48,Carbon-Aware
299,True,204,102,2.0,204,38245.0,284.25,63.0,0.96,Carbon-Aware
300,True,105,105,1.0,105,93229.25,271.0,8.6,3.64,Carbon-Aware
300,True,158,105,1.5,158,55858.25,261.0,45.24,7.2,Carbon-Aware
300,True,210,105,2.0,210,44226.0,262.5,56.64,6.67,Carbon-Aware
301,True,98,98,1.0,98,75267.75,259.25,25.56,3.45,Carbon-Aware
301,True,147,98,1.5,147,39656.25,254.25,60.78,5.31,Carbon-Aware
301,True,196,98,2.0,196,41326.25,256.0,59.13,4.66,Carbon-Aware
302,True,113,113,1.0,113,70707.75,263.0,12.8,0.75,Carbon-Aware
302,True,170,113,1.5,164,45661.75,257.75,43.69,2.74,Carbon-Aware
302,True,226,113,2.0,222,33697.0,255.25,58.44,3.68,Carbon-Aware
303,True,120,120,1.0,120,125617.5,374.25,3.8,0.4,Carbon-Aware
303,True,180,120,1.5,180,102431.0,368.0,21.55,2.06,Carbon-Aware
303,True,240,120,2.0,240,61064.0,370.75,53.23,1.33,Carbon-Aware
304,True,96,96,1.0,96,105751.25,280.75,12.35,3.02,Carbon-Aware
304,True,144,96,1.5,144,61297.5,281.5,49.19,2.76,Carbon-Aware
304,True,192,96,2.0,192,61030.25,276.5,49.42,4.49,Carbon-Aware
305,True,90,90,1.0,90,103503.5,272.75,4.63,1.0,Carbon-Aware
305,True,135,90,1.5,135,49842.0,265.0,54.07,3.81,Carbon-Aware
305,True,180,90,2.0,180,49270.5,261.75,54.6,4.99,Carbon-Aware
306,True,113,113,1.0,113,83260.75,341.0,20.3,3.67,Carbon-Aware
306,True,170,113,1.5,170,61303.5,339.25,41.32,4.17,Carbon-Aware
306,True,226,113,2.0,224,36076.25,347.25,65.47,1.91,Carbon-Aware
307,True,105,105,1.0,105,77043.5,301.0,16.53,1.31,Carbon-Aware
307,True,158,105,1.5,158,47040.0,290.25,49.04,4.84,Carbon-Aware
307,True,210,105,2.0,210,33340.25,300.25,63.88,1.56,Carbon-Aware
308,True,102,102,1.0,102,48413.5,188.25,18.23,0.66,Carbon-Aware
308,True,153,102,1.5,153,24398.25,188.75,58.79,0.4,Carbon-Aware
308,True,204,102,2.0,204,22339.25,184.75,62.27,2.51,Carbon-Aware
309,True,123,123,1.0,123,65870.25,341.0,22.32,2.15,Carbon-Aware
309,True,185,123,1.5,185,64235.0,336.25,24.25,3.52,Carbon-Aware
309,True,246,123,2.0,246,39455.75,332.0,53.47,4.73,Carbon-Aware
310,True,104,104,1.0,104,102769.75,328.75,4.14,1.94,Carbon-Aware
310,True,156,104,1.5,156,67365.5,319.25,37.16,4.77,Carbon-Aware
310,True,208,104,2.0,208,45907.25,321.75,57.18,4.03,Carbon-Aware
311,True,111,111,1.0,111,70894.75,301.0,24.44,0.25,Carbon-Aware
311,True,167,111,1.5,156,50044.5,291.25,46.66,3.48,Carbon-Aware
311,True,222,111,2.0,221,29846.25,298.25,68.19,1.16,Carbon-Aware
312,True,114,114,1.0,114,43195.0,284.0,45.89,2.24,Carbon-Aware
312,True,171,114,1.5,171,37603.75,277.25,52.9,4.56,Carbon-Aware
312,True,228,114,2.0,226,28882.75,287.25,63.82,1.12,Carbon-Aware
313,True,96,96,1.0,96,93439.25,264.5,9.51,2.13,Carbon-Aware
313,True,144,96,1.5,144,42372.5,256.0,58.96,5.27,Carbon-Aware
313,True,192,96,2.0,192,41023.5,255.75,60.27,5.37,Carbon-Aware
314,True,112,112,1.0,112,148203.0,427.5,0.0,0.0,Carbon-Aware
314,True,168,112,1.5,168,105598.5,423.0,28.75,1.05,Carbon-Aware
314,True,224,112,2.0,224,62982.75,421.75,57.5,1.35,Carbon-Aware
315,True,106,106,1.0,106,75455.5,288.25,7.96,3.76,Carbon-Aware
315,True,159,106,1.5,159,44687.5,286.25,45.49,4.42,Carbon-Aware
315,True,212,106,2.0,212,38149.0,289.0,53.46,3.51,Carbon-Aware
316,True,103,103,1.0,103,45997.75,218.5,16.76,-1.51,Carbon-Aware
316,True,155,103,1.5,155,24467.0,214.0,55.72,0.58,Carbon-Aware
316,True,206,103,2.0,206,19889.5,215.5,64.01,-0.12,Carbon-Aware
317,True,113,113,1.0,113,58713.75,339.25,21.88,1.95,Carbon-Aware
317,True,170,113,1.5,170,45308.25,339.75,39.72,1.81,Carbon-Aware
317,True,226,113,2.0,226,37788.0,344.0,49.72,0.58,Carbon-Aware
318,True,99,99,1.0,99,49116.25,243.75,14.11,1.22,Carbon-Aware
318,True,149,99,1.5,149,32185.25,236.25,43.72,4.26,Carbon-Aware
318,True,198,99,2.0,198,30710.75,239.0,46.3,3.14,Carbon-Aware
319,True,96,96,1.0,96,46854.25,247.5,14.51,0.8,Carbon-Aware
319,True,144,96,1.5,144,28083.25,248.0,48.76,0.6,Carbon-Aware
319,True,192,96,2.0,180,28583.0,240.5,47.85,3.61,Carbon-Aware
320,True,107,107,1.0,107,51809.75,291.0,11.49,0.51,Carbon-Aware
320,True,161,107,1.5,156,37977.5,284.5,35.12,2.74,Carbon-Aware
320,True,214,107,2.0,214,32657.5,289.25,44.21,1.11,Carbon-Aware
321,True,96,96,1.0,96,62169.5,269.0,6.51,2.09,Carbon-Aware
321,True,144,96,1.5,144,36037.75,267.5,45.81,2.64,Carbon-Aware
321,True,192,96,2.0,192,32659.25,261.5,50.89,4.82,Carbon-Aware
322,True,88,88,1.0,88,59941.25,254.25,8.95,2.31,Carbon-Aware
322,True,132,88,1.5,132,35769.75,248.75,45.67,4.42,Carbon-Aware
322,True,176,88,2.0,176,33692.0,239.75,48.82,7.88,Carbon-Aware
323,True,140,140,1.0,140,44430.0,307.25,21.43,-0.49,Carbon-Aware
323,True,210,140,1.5,210,31379.75,306.75,44.51,-0.33,Carbon-Aware
323,True,280,140,2.0,279,24542.0,299.5,56.6,2.04,Carbon-Aware
324,True,105,105,1.0,105,30965.25,258.5,25.5,3.36,Carbon-Aware
324,True,158,105,1.5,158,18025.25,258.0,56.63,3.55,Carbon-Aware
324,True,210,105,2.0,210,15119.0,255.5,63.62,4.49,Carbon-Aware
325,True,91,91,1.0,91,43104.75,245.75,10.28,3.25,Carbon-Aware
325,True,137,91,1.5,137,17486.25,244.0,63.6,3.94,Carbon-Aware
325,True,182,91,2.0,173,18679.75,241.75,61.12,4.82,Carbon-Aware
326,True,104,104,1.0,104,43720.5,293.25,10.91,3.77,Carbon-Aware
326,True,156,104,1.5,156,23361.75,292.75,52.4,3.94,Carbon-Aware
326,True,208,104,2.0,208,18626.5,297.5,62.05,2.38,Carbon-Aware
327,True,113,113,1.0,113,29906.25,318.0,19.25,4.5,Carbon-Aware
327,True,170,113,1.5,161,26589.25,312.5,28.21,6.16,Carbon-Aware
327,True,226,113,2.0,216,20109.0,324.0,45.71,2.7,Carbon-Aware
328,True,101,101,1.0,101,36208.5,294.25,6.41,2.73,Carbon-Aware
328,True,152,101,1.5,150,24508.5,288.25,36.65,4.71,Carbon-Aware
328,True,202,101,2.0,202,21032.25,293.5,45.63,2.98,Carbon-Aware
329,True,111,111,1.0,111,21550.5,260.5,27.3,4.4,Carbon-Aware
329,True,167,111,1.5,140,17975.25,257.75,39.36,5.41,Carbon-Aware
329,True,222,111,2.0,218,14836.5,260.5,49.95,4.4,Carbon-Aware
330,True,94,94,1.0,94,68798.75,275.75,15.25,2.9,Carbon-Aware
330,True,141,94,1.5,141,32308.0,270.75,60.2,4.67,Carbon-Aware
330,True,188,94,2.0,188,30598.75,264.0,62.31,7.04,Carbon-Aware
331,True,123,123,1.0,123,67264.75,359.25,18.65,4.26,Carbon-Aware
331,True,185,123,1.5,185,53327.25,351.25,35.51,6.4,Carbon-Aware
331,True,246,123,2.0,224,31510.25,348.75,61.89,7.06,Carbon-Aware
332,True,109,109,1.0,109,48915.25,259.25,13.9,3.45,Carbon-Aware
332,True,164,109,1.5,164,30242.75,260.25,46.77,3.07,Carbon-Aware
332,True,218,109,2.0,218,17155.5,262.0,69.8,2.42,Carbon-Aware
333,True,116,116,1.0,116,46155.0,338.5,19.71,1.17,Carbon-Aware
333,True,174,116,1.5,174,37627.75,327.75,34.55,4.31,Carbon-Aware
333,True,232,116,2.0,232,16812.0,339.75,70.76,0.8,Carbon-Aware
334,True,80,80,1.0,80,53460.5,282.0,8.77,1.48,Carbon-Aware
334,True,120,80,1.5,120,26192.25,275.75,55.3,3.67,Carbon-Aware
334,True,160,80,2.0,160,26445.75,276.25,54.87,3.49,Carbon-Aware
335,True,90,90,1.0,90,62808.75,298.25,9.36,1.65,Carbon-Aware
335,True,135,90,1.5,134,35823.25,294.25,48.3,2.97,Carbon-Aware
335,True,180,90,2.0,180,26645.0,292.75,61.55,3.46,Carbon-Aware
336,True,91,91,1.0,91,27424.25,274.75,51.18,-2.04,Carbon-Aware
336,True,137,91,1.5,137,12539.75,270.0,77.68,-0.28,Carbon-Aware
336,True,182,91,2.0,171,10825.5,270.0,80.73,-0.28,Carbon-Aware
337,True,101,101,1.0,101,41441.5,307.75,39.74,2.46,Carbon-Aware
337,True,152,101,1.5,152,14427.75,309.25,79.02,1.98,Carbon-Aware
337,True,202,101,2.0,199,12767.5,303.0,81.43,3.96,Carbon-Aware
338,True,109,109,1.0,109,30156.25,327.0,59.34,-1.55,Carbon-Aware
338,True,164,109,1.5,164,13692.5,323.75,81.54,-0.54,Carbon-Aware
338,True,218,109,2.0,211,14170.0,313.25,80.89,2.72,Carbon-Aware
339,True,84,84,1.0,84,16191.5,314.5,1.44,1.1,Carbon-Aware
339,True,126,84,1.5,125,15509.25,311.5,5.59,2.04,Carbon-Aware
339,True,168,84,2.0,118,15319.5,315.5,6.75,0.79,Carbon-Aware
340,True,102,102,1.0,102,19362.5,273.0,12.82,1.62,Carbon-Aware
340,True,153,102,1.5,147,16626.0,267.0,25.14,3.78,Carbon-Aware
340,True,204,102,2.0,204,13681.0,272.0,38.4,1.98,Carbon-Aware
341,True,99,99,1.0,99,19371.0,294.25,12.53,1.75,Carbon-Aware
341,True,149,99,1.5,149,16913.0,290.5,23.63,3.01,Carbon-Aware
341,True,198,99,2.0,198,14885.75,296.75,32.78,0.92,Carbon-Aware
342,True,122,122,1.0,122,57870.0,339.5,21.41,3.35,Carbon-Aware
342,True,183,122,1.5,183,55851.5,335.75,24.15,4.41,Carbon-Aware
342,True,244,122,2.0,244,51054.5,333.75,30.66,4.98,Carbon-Aware
343,True,116,116,1.0,116,47482.25,269.25,19.57,3.32,Carbon-Aware
343,True,174,116,1.5,169,39793.25,263.25,32.6,5.48,Carbon-Aware
343,True,232,116,2.0,220,34539.25,269.75,41.5,3.14,Carbon-Aware
344,True,93,93,1.0,93,63133.25,231.5,8.33,5.22,Carbon-Aware
344,True,140,93,1.5,134,26337.75,233.75,61.76,4.3,Carbon-Aware
344,True,186,93,2.0,148,25624.0,230.5,62.79,5.63,Carbon-Aware
345,True,112,112,1.0,112,70951.75,234.25,2.1,3.1,Carbon-Aware
345,True,168,112,1.5,168,47932.5,228.75,33.86,5.38,Carbon-Aware
345,True,224,112,2.0,216,31966.5,227.25,55.89,6.0,Carbon-Aware
346,True,105,105,1.0,105,76528.0,250.25,10.93,2.63,Carbon-Aware
346,True,158,105,1.5,158,53082.5,244.75,38.22,4.77,Carbon-Aware
346,True,210,105,2.0,210,32997.5,247.0,61.59,3.89,Carbon-Aware
347,True,104,104,1.0,104,75789.25,232.25,7.44,2.82,Carbon-Aware
347,True,156,104,1.5,156,48861.5,226.75,40.33,5.13,Carbon-Aware
347,True,208,104,2.0,208,31048.5,226.0,62.08,5.44,Carbon-Aware
348,True,101,101,1.0,101,39116.5,199.25,8.91,2.21,Carbon-Aware
348,True,152,101,1.5,148,28355.25,189.25,33.97,7.12,Carbon-Aware
348,True,202,101,2.0,202,19086.75,192.25,55.55,5.64,Carbon-Aware
349,True,95,95,1.0,95,40384.25,189.0,13.0,3.2,Carbon-Aware
349,True,143,95,1.5,120,25724.75,189.0,44.58,3.2,Carbon-Aware
349,True,190,95,2.0,190,27025.25,180.5,41.78,7.55,Carbon-Aware
350,True,101,101,1.0,101,48196.5,243.0,9.66,2.41,Carbon-Aware
350,True,152,101,1.5,148,38214.0,238.0,28.37,4.42,Carbon-Aware
350,True,202,101,2.0,202,28171.25,238.75,47.19,4.12,Carbon-Aware
351,True,110,110,1.0,110,84736.5,301.25,13.1,4.44,Carbon-Aware
351,True,165,110,1.5,165,53199.75,295.75,45.44,6.19,Carbon-Aware
351,True,220,110,2.0,220,40370.0,300.5,58.6,4.68,Carbon-Aware
352,True,106,106,1.0,106,83215.25,262.75,8.69,2.32,Carbon-Aware
352,True,159,106,1.5,159,43431.75,259.5,52.34,3.53,Carbon-Aware
352,True,212,106,2.0,212,37645.0,254.75,58.69,5.3,Carbon-Aware
353,True,118,118,1.0,118,44229.75,266.0,33.33,-0.38,Carbon-Aware
353,True,177,118,1.5,177,36116.25,261.5,45.56,1.32,Carbon-Aware
353,True,236,118,2.0,236,29531.5,268.0,55.49,-1.13,Carbon-Aware
354,True,90,90,1.0,90,105572.0,302.5,5.03,1.14,Carbon-Aware
354,True,135,90,1.5,135,67841.75,297.5,38.97,2.78,Carbon-Aware
354,True,180,90,2.0,180,40644.5,296.0,63.44,3.27,Carbon-Aware
355,True,114,114,1.0,114,71763.0,277.75,12.51,-0.18,Carbon-Aware
355,True,171,114,1.5,171,39847.0,269.5,51.42,2.8,Carbon-Aware
355,True,228,114,2.0,222,18974.25,272.75,76.87,1.62,Carbon-Aware
356,True,104,104,1.0,104,51929.75,222.0,27.86,4.21,Carbon-Aware
356,True,156,104,1.5,156,32317.25,224.5,55.11,3.13,Carbon-Aware
356,True,208,104,2.0,208,15349.75,221.5,78.68,4.42,Carbon-Aware
357,True,94,94,1.0,94,42007.75,302.25,10.59,1.14,Carbon-Aware
357,True,141,94,1.5,141,24716.75,294.75,47.39,3.6,Carbon-Aware
357,True,188,94,2.0,188,22828.5,286.75,51.41,6.21,Carbon-Aware
358,True,111,111,1.0,111,34145.5,328.75,17.24,3.45,Carbon-Aware
358,True,167,111,1.5,167,27490.0,325.0,33.37,4.55,Carbon-Aware
358,True,222,111,2.0,222,20856.5,324.75,49.45,4.63,Carbon-Aware
359,True,111,111,1.0,111,24579.5,266.75,28.36,3.79,Carbon-Aware
359,True,167,111,1.5,167,20825.5,260.5,39.3,6.04,Carbon-Aware
359,True,222,111,2.0,221,14374.0,265.75,58.11,4.15,Carbon-Aware
360,True,97,97,1.0,97,42457.25,344.75,9.43,2.41,Carbon-Aware
360,True,146,97,1.5,128,28427.0,340.75,39.36,3.54,Carbon-Aware
360,True,194,97,2.0,194,28490.5,334.5,39.22,5.31,Carbon-Aware
361,True,161,107,1.5,161,28037.25,297.75,22.78,3.41,Carbon-Aware
361,True,214,107,2.0,214,19624.75,294.75,45.95,4.38,Carbon-Aware
362,True,105,105,1.0,105,28734.0,266.0,16.12,2.65,Carbon-Aware
362,True,158,105,1.5,153,20804.25,264.25,39.27,3.29,Carbon-Aware
362,True,210,105,2.0,210,15747.0,261.5,54.03,4.3,Carbon-Aware
363,True,94,94,1.0,94,46049.25,307.75,12.51,1.52,Carbon-Aware
363,True,141,94,1.5,141,26383.5,304.25,49.87,2.64,Carbon-Aware
363,True,188,94,2.0,178,27050.75,301.0,48.61,3.68,Carbon-Aware
364,True,110,110,1.0,110,47412.75,354.75,3.95,2.27,Carbon-Aware
364,True,165,110,1.5,164,38713.25,343.75,21.57,5.3,Carbon-Aware
364,True,220,110,2.0,220,32638.25,344.25,33.88,5.17,Carbon-Aware
365,True,113,113,1.0,113,36516.0,294.25,7.58,3.05,Carbon-Aware
365,True,170,113,1.5,168,30077.0,283.5,23.87,6.59,Carbon-Aware
365,True,226,113,2.0,226,26532.25,281.25,32.85,7.33,Carbon-Aware
366,True,90,90,1.0,90,53993.25,295.25,16.02,1.83,Carbon-Aware
366,True,135,90,1.5,135,35635.75,286.25,44.57,4.82,Carbon-Aware
366,True,180,90,2.0,152,38209.25,288.25,40.57,4.16,Carbon-Aware
367,True,102,102,1.0,102,71655.0,323.0,4.64,2.86,Carbon-Aware
367,True,153,102,1.5,153,51823.0,312.75,31.03,5.94,Carbon-Aware
367,True,204,102,2.0,204,43493.0,315.25,42.12,5.19,Carbon-Aware
368,True,95,95,1.0,95,59344.75,288.25,10.68,0.86,Carbon-Aware
368,True,143,95,1.5,143,39680.75,278.5,40.28,4.21,Carbon-Aware
368,True,190,95,2.0,190,41315.75,273.25,37.82,6.02,Carbon-Aware
369,True,105,105,1.0,105,72641.75,309.25,21.37,-0.73,Carbon-Aware
369,True,158,105,1.5,158,46544.0,293.25,49.62,4.48,Carbon-Aware
369,True,210,105,2.0,210,31330.0,291.75,66.09,4.97,Carbon-Aware
370,True,107,107,1.0,107,84547.0,305.5,-0.78,-1.58,Carbon-Aware
370,True,161,107,1.5,161,49857.5,295.25,40.57,1.83,Carbon-Aware
370,True,214,107,2.0,214,26287.5,294.75,68.67,2.0,Carbon-Aware
371,True,118,118,1.0,118,55848.5,317.5,16.92,0.47,Carbon-Aware
371,True,177,118,1.5,176,48642.5,304.75,27.64,4.47,Carbon-Aware
371,True,236,118,2.0,236,27963.25,311.5,58.4,2.35,Carbon-Aware
372,True,77,77,1.0,77,74325.75,300.0,6.96,1.48,Carbon-Aware
372,True,116,77,1.5,116,45025.5,297.25,43.64,2.38,Carbon-Aware
372,True,154,77,2.0,154,30241.25,291.5,62.14,4.27,Carbon-Aware
373,True,131,131,1.0,131,56420.0,330.75,6.05,0.45,Carbon-Aware
373,True,197,131,1.5,197,36689.25,326.75,38.9,1.66,Carbon-Aware
373,True,262,131,2.0,249,25113.75,323.0,58.18,2.78,Carbon-Aware
374,True,92,92,1.0,92,80822.5,289.25,6.85,3.18,Carbon-Aware
374,True,138,92,1.5,138,30078.25,291.0,65.33,2.59,Carbon-Aware
374,True,184,92,2.0,184,26292.75,284.5,69.7,4.77,Carbon-Aware
375,True,103,103,1.0,103,34504.25,248.75,13.41,0.7,Carbon-Aware
375,True,155,103,1.5,155,22408.0,246.25,43.77,1.7,Carbon-Aware
375,True,206,103,2.0,206,18315.5,242.75,54.04,3.09,Carbon-Aware
376,True,100,100,1.0,100,34053.0,260.0,18.04,4.06,Carbon-Aware
376,True,150,100,1.5,150,21160.5,253.0,49.07,6.64,Carbon-Aware
376,True,200,100,2.0,200,19836.0,251.25,52.26,7.29,Carbon-Aware
377,True,101,101,1.0,101,46365.5,290.75,14.77,3.49,Carbon-Aware
377,True,152,101,1.5,152,31310.75,290.5,42.45,3.57,Carbon-Aware
