Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%),Group
22,True,167,111,1.5,154,25577.0,253.75,51.1,0.49,Carbon-Aware
22,True,222,111,2.0,222,14829.0,258.5,71.65,-1.37,Carbon-Aware
23,True,86,86,1.0,86,70599.0,324.0,4.9,0.08,Carbon-Aware
23,True,129,86,1.5,129,25296.5,313.75,65.92,3.24,Carbon-Aware
23,True,172,86,2.0,144,26741.0,315.75,63.98,2.62,Carbon-Aware
24,True,105,105,1.0,105,38420.25,271.75,35.48,0.91,Carbon-Aware
24,True,158,105,1.5,158,18764.5,269.75,68.49,1.64,Carbon-Aware
24,True,210,105,2.0,210,15620.0,274.25,73.77,0.0,Carbon-Aware
25,True,98,98,1.0,98,61929.25,270.75,24.63,2.17,Carbon-Aware
25,True,147,98,1.5,147,21173.5,270.0,74.23,2.44,Carbon-Aware
25,True,196,98,2.0,196,15960.5,265.5,80.58,4.07,Carbon-Aware
26,True,105,105,1.0,105,57066.5,240.5,24.99,3.12,Carbon-Aware
26,True,158,105,1.5,158,17678.75,242.0,76.76,2.52,Carbon-Aware
26,True,210,105,2.0,210,13060.0,243.25,82.83,2.01,Carbon-Aware
27,True,100,100,1.0,100,17012.25,206.25,29.86,4.4,Carbon-Aware
27,True,150,100,1.5,150,11876.25,203.75,51.04,5.56,Carbon-Aware
27,True,200,100,2.0,156,11846.5,205.25,51.16,4.87,Carbon-Aware
28,True,117,117,1.0,117,31352.25,353.5,21.59,1.67,Carbon-Aware
28,True,176,117,1.5,176,26619.25,350.5,33.42,2.5,Carbon-Aware
28,True,234,117,2.0,208,25728.75,353.75,35.65,1.6,Carbon-Aware
29,True,83,83,1.0,83,36651.75,255.5,14.82,4.49,Carbon-Aware
29,True,125,83,1.5,125,16763.25,250.5,61.04,6.36,Carbon-Aware
29,True,166,83,2.0,166,16910.5,250.0,60.7,6.54,Carbon-Aware
30,True,94,94,1.0,94,24225.25,242.5,35.91,1.52,Carbon-Aware
30,True,141,94,1.5,141,20807.0,238.0,44.95,3.35,Carbon-Aware
30,True,188,94,2.0,188,17933.5,244.5,52.56,0.71,Carbon-Aware
31,True,89,89,1.0,89,42419.25,312.25,11.66,0.87,Carbon-Aware
31,True,134,89,1.5,134,31086.25,303.75,35.26,3.57,Carbon-Aware
31,True,178,89,2.0,164,28515.75,306.75,40.61,2.62,Carbon-Aware
32,True,110,110,1.0,110,38745.75,285.25,11.88,1.98,Carbon-Aware
32,True,165,110,1.5,165,29239.5,277.25,33.5,4.73,Carbon-Aware
32,True,220,110,2.0,220,18040.0,279.5,58.97,3.95,Carbon-Aware
33,True,106,106,1.0,106,32295.0,304.75,32.02,0.81,Carbon-Aware
33,True,159,106,1.5,159,11743.0,306.5,75.28,0.24,Carbon-Aware
33,True,212,106,2.0,192,10180.5,303.5,78.57,1.22,Carbon-Aware
34,True,103,103,1.0,103,20427.0,209.5,44.04,5.74,Carbon-Aware
34,True,155,103,1.5,155,7711.25,215.0,78.87,3.26,Carbon-Aware
34,True,206,103,2.0,188,6928.5,211.0,81.02,5.06,Carbon-Aware
35,True,118,118,1.0,118,22830.5,291.5,35.96,-1.22,Carbon-Aware
35,True,177,118,1.5,177,10270.75,297.0,71.19,-3.12,Carbon-Aware
35,True,236,118,2.0,185,9770.25,289.25,72.59,-0.43,Carbon-Aware
36,True,98,98,1.0,98,8344.0,213.75,6.25,2.06,Carbon-Aware
36,True,147,98,1.5,147,8095.25,210.25,9.04,3.67,Carbon-Aware
36,True,196,98,2.0,192,7170.5,207.75,19.43,4.81,Carbon-Aware
37,True,99,99,1.0,99,8746.0,238.25,2.14,-0.85,Carbon-Aware
37,True,149,99,1.5,149,8234.25,228.5,7.87,3.28,Carbon-Aware
37,True,198,99,2.0,174,7430.75,229.25,16.86,2.96,Carbon-Aware
38,True,98,98,1.0,98,9526.5,271.75,11.28,-1.12,Carbon-Aware
38,True,147,98,1.5,147,9149.0,266.5,14.79,0.84,Carbon-Aware
38,True,196,98,2.0,172,8513.25,262.25,20.71,2.42,Carbon-Aware
39,True,93,93,1.0,93,13387.5,294.0,17.45,1.84,Carbon-Aware
39,True,140,93,1.5,113,12961.0,293.25,20.08,2.09,Carbon-Aware
39,True,186,93,2.0,111,13231.5,294.0,18.41,1.84,Carbon-Aware
40,True,118,118,1.0,118,18735.0,360.0,14.63,0.0,Carbon-Aware
40,True,177,118,1.5,120,19228.5,360.5,12.38,-0.14,Carbon-Aware
40,True,236,118,2.0,215,17820.0,359.75,18.8,0.07,Carbon-Aware
41,True,102,102,1.0,102,12750.5,282.5,21.06,0.7,Carbon-Aware
41,True,153,102,1.5,128,12865.25,273.25,20.35,3.95,Carbon-Aware
41,True,204,102,2.0,204,12732.75,274.25,21.17,3.6,Carbon-Aware
42,True,128,128,1.0,128,58944.0,360.25,21.63,-0.84,Carbon-Aware
42,True,192,128,1.5,192,44610.5,362.5,40.69,-1.47,Carbon-Aware
42,True,256,128,2.0,244,21675.5,365.75,71.18,-2.38,Carbon-Aware
43,True,94,94,1.0,94,62847.25,233.25,8.64,4.11,Carbon-Aware
43,True,141,94,1.5,141,28375.75,234.0,58.75,3.8,Carbon-Aware
43,True,188,94,2.0,188,24889.5,235.5,63.82,3.19,Carbon-Aware
44,True,96,96,1.0,96,74974.0,326.75,18.15,1.21,Carbon-Aware
44,True,144,96,1.5,144,38857.0,321.0,57.58,2.95,Carbon-Aware
44,True,192,96,2.0,192,36039.75,323.75,60.65,2.12,Carbon-Aware
45,True,111,111,1.0,111,29076.25,257.25,20.58,1.53,Carbon-Aware
45,True,167,111,1.5,145,13920.5,258.25,61.98,1.15,Carbon-Aware
45,True,222,111,2.0,216,13550.0,259.0,62.99,0.86,Carbon-Aware
46,True,100,100,1.0,100,57965.25,379.0,16.44,3.13,Carbon-Aware
46,True,150,100,1.5,150,25200.0,380.25,63.67,2.81,Carbon-Aware
46,True,200,100,2.0,200,26101.5,373.5,62.37,4.54,Carbon-Aware
47,True,109,109,1.0,109,29625.5,260.5,32.41,2.89,Carbon-Aware
47,True,164,109,1.5,162,15855.0,259.0,63.83,3.45,Carbon-Aware
47,True,218,109,2.0,216,13611.5,266.0,68.94,0.84,Carbon-Aware
48,True,107,107,1.0,107,20711.25,231.0,32.15,3.14,Carbon-Aware
48,True,161,107,1.5,132,14689.5,234.25,51.88,1.78,Carbon-Aware
48,True,214,107,2.0,212,12491.5,230.75,59.08,3.25,Carbon-Aware
49,True,114,114,1.0,114,23378.25,275.25,47.1,2.31,Carbon-Aware
49,True,171,114,1.5,167,20694.25,271.75,53.17,3.55,Carbon-Aware
49,True,228,114,2.0,220,16232.25,272.75,63.27,3.19,Carbon-Aware
50,True,93,93,1.0,93,40825.5,300.5,19.11,4.22,Carbon-Aware
50,True,140,93,1.5,140,22003.0,302.5,56.4,3.59,Carbon-Aware
50,True,186,93,2.0,186,20647.75,293.75,59.09,6.37,Carbon-Aware
51,True,98,98,1.0,98,35445.5,289.0,31.61,2.69,Carbon-Aware
51,True,147,98,1.5,128,22177.0,285.0,57.21,4.04,Carbon-Aware
51,True,196,98,2.0,196,15228.25,285.0,70.62,4.04,Carbon-Aware
52,True,104,104,1.0,104,58709.0,362.75,7.4,-0.55,Carbon-Aware
52,True,156,104,1.5,156,35309.25,352.0,44.31,2.43,Carbon-Aware
52,True,208,104,2.0,208,18798.25,352.75,70.35,2.22,Carbon-Aware
53,True,119,119,1.0,119,41223.5,362.25,23.04,0.62,Carbon-Aware
53,True,179,119,1.5,179,26211.75,355.5,51.07,2.47,Carbon-Aware
53,True,238,119,2.0,226,18320.5,358.5,65.8,1.65,Carbon-Aware
54,True,99,99,1.0,99,16472.0,246.75,59.11,-0.71,Carbon-Aware
54,True,149,99,1.5,128,11987.0,245.0,70.24,0.0,Carbon-Aware
54,True,198,99,2.0,128,11923.75,238.0,70.4,2.86,Carbon-Aware
55,True,105,105,1.0,105,16257.5,260.0,45.13,2.35,Carbon-Aware
55,True,158,105,1.5,129,13055.5,263.5,55.94,1.03,Carbon-Aware
55,True,210,105,2.0,210,12838.0,259.25,56.67,2.63,Carbon-Aware
56,True,121,121,1.0,121,11250.25,228.25,58.54,-1.22,Carbon-Aware
56,True,182,121,1.5,128,11480.25,228.75,57.69,-1.44,Carbon-Aware
56,True,242,121,2.0,242,10599.75,221.75,60.94,1.66,Carbon-Aware
57,True,99,99,1.0,99,31254.5,196.25,12.03,1.75,Carbon-Aware
57,True,149,99,1.5,149,10521.25,199.0,70.39,0.38,Carbon-Aware
57,True,198,99,2.0,198,8593.75,195.75,75.81,2.0,Carbon-Aware
58,True,113,113,1.0,113,50667.25,341.5,7.23,2.43,Carbon-Aware
58,True,170,113,1.5,170,17669.75,341.25,67.65,2.5,Carbon-Aware
58,True,226,113,2.0,203,15069.0,338.25,72.41,3.36,Carbon-Aware
59,True,95,95,1.0,95,58790.25,303.5,4.86,2.18,Carbon-Aware
59,True,143,95,1.5,143,20360.0,302.5,67.05,2.5,Carbon-Aware
59,True,190,95,2.0,190,13305.5,300.75,78.47,3.06,Carbon-Aware
60,True,102,102,1.0,102,12179.5,280.0,8.57,2.95,Carbon-Aware
60,True,153,102,1.5,112,12297.25,279.5,7.69,3.12,Carbon-Aware
60,True,204,102,2.0,172,11468.5,272.5,13.91,5.55,Carbon-Aware
61,True,101,101,1.0,101,14411.25,325.0,12.11,2.03,Carbon-Aware
61,True,152,101,1.5,122,14913.5,321.5,9.05,3.09,Carbon-Aware
61,True,202,101,2.0,200,14689.75,322.75,10.41,2.71,Carbon-Aware
62,True,91,91,1.0,91,15999.0,340.5,8.07,2.44,Carbon-Aware
62,True,137,91,1.5,115,15348.25,338.25,11.81,3.08,Carbon-Aware
62,True,182,91,2.0,178,14325.0,331.5,17.69,5.01,Carbon-Aware
63,True,122,122,1.0,122,36936.5,376.75,6.25,0.99,Carbon-Aware
63,True,183,122,1.5,176,38271.5,380.5,2.86,0.0,Carbon-Aware
63,True,244,122,2.0,216,36832.0,384.75,6.52,-1.12,Carbon-Aware
64,True,106,106,1.0,106,27319.25,317.5,32.61,3.79,Carbon-Aware
64,True,159,106,1.5,123,26914.25,317.25,33.61,3.86,Carbon-Aware
64,True,212,106,2.0,212,27073.0,318.75,33.22,3.41,Carbon-Aware
65,True,98,98,1.0,98,16742.25,216.5,17.4,-1.88,Carbon-Aware
65,True,147,98,1.5,119,15266.75,209.5,24.68,1.41,Carbon-Aware
65,True,196,98,2.0,108,15650.5,215.0,22.79,-1.18,Carbon-Aware
66,True,115,115,1.0,115,80101.0,304.0,4.48,1.86,Carbon-Aware
66,True,173,115,1.5,149,70703.25,298.25,15.68,3.71,Carbon-Aware
66,True,230,115,2.0,230,39897.75,303.0,52.42,2.18,Carbon-Aware
67,True,117,117,1.0,117,83992.0,331.0,15.96,2.29,Carbon-Aware
67,True,176,117,1.5,174,78651.0,332.25,21.31,1.92,Carbon-Aware
67,True,234,117,2.0,234,48640.25,332.5,51.33,1.85,Carbon-Aware
68,True,102,102,1.0,102,52060.0,191.5,19.71,8.81,Carbon-Aware
