SlackCoeff,Carbon_CarbonSavings(%),Carbon_EnergySavings(%),Carbon_UtilizationRatio,Carbon_AvgOptMakeSpan,Energy_CarbonSavings(%),Energy_EnergySavings(%),Energy_UtilizationRatio,Energy_AvgOptMakeSpan
1.0,18.447882462686568,1.828759328358209,55.02,103.6,11.643884220354808,3.5327357609710552,56.61,103.6
1.5,43.68874074074074,3.0850925925925927,40.96,103.6,27.186907407407407,7.716444444444445,47.41,103.6
2.0,52.286314814814816,3.2766574074074075,31.1,103.6,32.70984259259259,10.27175,42.12,103.6
