SlackCoeff,CarbonSavings(%),EnergySavings(%),UtilizationRatio
1.0,15.519074074074073,5.988046296296297,48.0
1.5,20.286055555555553,9.376546296296297,42.4
2.0,19.18186111111111,11.358972222222222,37.39
