Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
28,True,204,102,2.0,203,46707.0,221.5,29.92,8.19
29,True,78,78,1.0,78,34369.5,137.75,17.44,8.47
29,True,117,78,1.5,108,27485.5,145.5,33.98,3.32
29,True,156,78,2.0,154,29285.5,146.75,29.66,2.49
30,True,99,99,1.0,99,46400.5,215.0,22.36,5.29
30,True,149,99,1.5,112,49859.75,221.25,16.57,2.53
30,True,198,99,2.0,194,46858.5,222.0,21.59,2.2
31,True,82,82,1.0,82,64995.5,244.0,8.9,4.97
31,True,123,82,1.5,123,55368.25,239.25,22.39,6.82
31,True,164,82,2.0,119,58975.25,249.5,17.34,2.82
32,True,107,107,1.0,107,39975.25,183.75,19.3,1.21
32,True,161,107,1.5,161,40513.5,176.75,18.21,4.97
32,True,214,107,2.0,208,42742.75,188.25,13.71,-1.21
33,True,104,104,1.0,104,62145.0,239.5,12.52,1.84
33,True,156,104,1.5,148,63668.25,240.5,10.37,1.43
33,True,208,104,2.0,208,61668.5,239.25,13.19,1.95
34,True,100,100,1.0,100,57839.75,229.75,16.05,6.03
34,True,150,100,1.5,150,60326.75,228.0,12.44,6.75
34,True,200,100,2.0,199,53951.0,238.0,21.7,2.66
35,True,97,97,1.0,97,41103.25,175.25,14.12,-0.86
35,True,146,97,1.5,115,43147.5,176.5,9.85,-1.58
35,True,194,97,2.0,194,42380.5,160.0,11.45,7.91
36,True,93,93,1.0,93,53645.75,209.25,11.19,4.01
36,True,140,93,1.5,139,53330.0,209.0,11.71,4.13
36,True,186,93,2.0,186,51873.5,221.0,14.12,-1.38
37,True,107,107,1.0,107,56470.75,228.5,16.45,4.39
37,True,161,107,1.5,161,57993.75,224.25,14.19,6.17
37,True,214,107,2.0,203,54874.0,231.25,18.81,3.24
38,True,97,97,1.0,97,40183.0,173.5,28.05,9.4
38,True,146,97,1.5,143,42667.5,177.25,23.6,7.44
38,True,194,97,2.0,194,35536.0,180.0,36.37,6.01
39,True,88,88,1.0,88,47267.5,202.5,12.91,5.04
39,True,132,88,1.5,132,46519.5,206.5,14.28,3.17
39,True,176,88,2.0,176,48113.25,206.75,11.35,3.05
40,True,99,99,1.0,99,33914.0,167.25,29.22,2.19
40,True,149,99,1.5,127,36641.25,172.5,23.53,-0.88
40,True,198,99,2.0,192,39503.5,179.25,17.56,-4.82
41,True,96,96,1.0,96,31820.25,164.25,30.76,6.14
41,True,144,96,1.5,112,34147.5,164.75,25.69,5.86
41,True,192,96,2.0,192,36251.5,151.25,21.12,13.57
42,True,101,101,1.0,101,42425.0,159.25,17.33,2.3
42,True,152,101,1.5,152,44986.0,149.75,12.34,8.13
42,True,202,101,2.0,202,42091.25,163.0,17.98,0.0
43,True,93,93,1.0,93,68325.5,241.5,8.08,3.69
43,True,140,93,1.5,111,68383.25,241.75,8.0,3.59
43,True,186,93,2.0,186,65119.0,248.0,12.4,1.1
44,True,93,93,1.0,93,50051.5,185.25,17.13,4.02
44,True,140,93,1.5,96,49242.75,184.5,18.47,4.4
44,True,186,93,2.0,186,50095.75,188.0,17.06,2.59
45,True,105,105,1.0,105,49656.75,183.5,14.52,3.67
