Location,CarbonSavings(%),EnergySavings(%)
AU-SA,31.11672222222222,0.0
CA-ON,11.763611111111112,0.0
CAISO,26.956583333333334,0.0
GER,9.57562962962963,0.0
TEX,9.483092592592593,0.0
