Instance,IsCarbonAware,SlackCoeff,Homogen_MaxMakeSpan,Heterogen_MaxMakeSpan
196,True,1.0,113,104.0
197,True,1.0,103,97.0
198,True,1.0,98,81.0
199,True,1.0,124,110.0
200,True,1.0,150,120.0
201,True,1.0,114,103.0
202,True,1.0,105,97.0
203,True,1.0,109,93.0
204,True,1.0,108,99.0
205,True,1.0,99,82.0
206,True,1.0,107,86.0
207,True,1.0,130,111.0
208,True,1.0,110,103.0
209,True,1.0,117,100.0
210,True,1.0,185,134.0
211,True,1.0,113,110.0
212,True,1.0,100,97.0
213,True,1.0,123,105.0
214,True,1.0,114,98.0
215,True,1.0,120,112.0
216,True,1.0,110,101.0
217,True,1.0,113,105.0
218,True,1.0,101,85.0
219,True,1.0,103,89.0
220,True,1.0,150,124.0
221,True,1.0,123,108.0
222,True,1.0,110,94.0
223,True,1.0,117,107.0
224,True,1.0,130,112.0
225,True,1.0,126,103.0
226,True,1.0,116,100.0
227,True,1.0,107,99.0
228,True,1.0,136,102.0
229,True,1.0,128,111.0
230,True,1.0,106,101.0
231,True,1.0,107,100.0
232,True,1.0,130,111.0
233,True,1.0,117,105.0
234,True,1.0,95,90.0
235,True,1.0,129,111.0
236,True,1.0,100,93.0
237,True,1.0,115,103.0
238,True,1.0,123,108.0
239,True,1.0,100,87.0
240,True,1.0,120,103.0
241,True,1.0,112,103.0
242,True,1.0,155,119.0
243,True,1.0,128,110.0
244,True,1.0,104,99.0
245,True,1.0,102,97.0
246,True,1.0,121,110.0
247,True,1.0,83,71.0
248,True,1.0,114,108.0
249,True,1.0,131,
250,True,1.0,116,97.0
251,True,1.0,113,102.0
252,True,1.0,155,125.0
253,True,1.0,104,96.0
254,True,1.0,116,107.0
255,True,1.0,108,87.0
256,True,1.0,114,104.0
257,True,1.0,107,100.0
258,True,1.0,104,99.0
259,True,1.0,117,108.0
260,True,1.0,123,112.0
261,True,1.0,142,117.0
262,True,1.0,123,107.0
263,True,1.0,135,114.0
264,True,1.0,106,101.0
265,True,1.0,123,108.0
266,True,1.0,113,100.0
267,True,1.0,101,99.0
268,True,1.0,138,116.0
269,True,1.0,137,111.0
270,True,1.0,151,124.0
271,True,1.0,127,110.0
272,True,1.0,124,103.0
273,True,1.0,117,106.0
274,True,1.0,106,90.0
275,True,1.0,123,114.0
276,True,1.0,100,99.0
277,True,1.0,100,92.0
278,True,1.0,119,106.0
279,True,1.0,131,114.0
280,True,1.0,150,118.0
281,True,1.0,84,76.0
282,True,1.0,111,103.0
283,True,1.0,132,112.0
284,True,1.0,145,117.0
285,True,1.0,116,106.0
286,True,1.0,115,107.0
287,True,1.0,122,107.0
288,True,1.0,112,106.0
289,True,1.0,103,92.0
290,True,1.0,116,106.0
291,True,1.0,128,112.0
292,True,1.0,87,78.0
293,True,1.0,135,115.0
294,True,1.0,108,99.0
295,True,1.0,109,104.0
296,True,1.0,105,92.0
297,True,1.0,111,102.0
298,True,1.0,135,110.0
299,True,1.0,106,102.0
300,True,1.0,119,105.0
301,True,1.0,110,98.0
302,True,1.0,128,113.0
303,True,1.0,147,120.0
304,True,1.0,104,96.0
305,True,1.0,104,90.0
306,True,1.0,142,113.0
307,True,1.0,125,105.0
308,True,1.0,106,102.0
309,True,1.0,155,123.0
310,True,1.0,123,104.0
311,True,1.0,129,111.0
312,True,1.0,133,114.0
313,True,1.0,105,96.0
314,True,1.0,137,112.0
315,True,1.0,132,106.0
316,True,1.0,112,103.0
317,True,1.0,135,113.0
318,True,1.0,113,99.0
319,True,1.0,104,96.0
320,True,1.0,120,107.0
321,True,1.0,123,96.0
322,True,1.0,102,88.0
323,True,1.0,191,140.0
324,True,1.0,120,105.0
325,True,1.0,109,91.0
326,True,1.0,110,104.0
327,True,1.0,130,113.0
328,True,1.0,115,101.0
329,True,1.0,123,111.0
330,True,1.0,109,94.0
331,True,1.0,174,123.0
332,True,1.0,120,109.0
333,True,1.0,138,116.0
334,True,1.0,101,80.0
335,True,1.0,102,90.0
336,True,1.0,102,91.0
337,True,1.0,118,101.0
338,True,1.0,129,109.0
339,True,1.0,102,84.0
340,True,1.0,120,102.0
341,True,1.0,114,99.0
342,True,1.0,164,122.0
343,True,1.0,138,116.0
344,True,1.0,108,93.0
345,True,1.0,120,112.0
346,True,1.0,117,105.0
347,True,1.0,115,104.0
348,True,1.0,112,101.0
349,True,1.0,98,95.0
350,True,1.0,111,101.0
351,True,1.0,126,110.0
352,True,1.0,122,106.0
353,True,1.0,141,118.0
354,True,1.0,100,90.0
355,True,1.0,136,114.0
356,True,1.0,113,104.0
357,True,1.0,107,94.0
358,True,1.0,117,111.0
359,True,1.0,124,111.0
360,True,1.0,109,97.0
361,True,1.0,113,
362,True,1.0,127,105.0
363,True,1.0,96,94.0
364,True,1.0,121,110.0
365,True,1.0,136,113.0
366,True,1.0,99,90.0
367,True,1.0,106,102.0
368,True,1.0,101,95.0
369,True,1.0,112,105.0
370,True,1.0,123,107.0
371,True,1.0,133,118.0
372,True,1.0,83,77.0
373,True,1.0,182,131.0
374,True,1.0,105,92.0
375,True,1.0,114,103.0
376,True,1.0,110,100.0
377,True,1.0,111,101.0
378,True,1.0,115,105.0
379,True,1.0,124,111.0
380,True,1.0,145,119.0
381,True,1.0,93,85.0
382,True,1.0,109,101.0
383,True,1.0,153,121.0
384,True,1.0,163,124.0
385,True,1.0,112,104.0
386,True,1.0,118,101.0
387,True,1.0,126,102.0
388,True,1.0,123,109.0
389,True,1.0,104,97.0
390,True,1.0,130,112.0
391,True,1.0,114,105.0
392,True,1.0,145,111.0
393,True,1.0,122,114.0
394,True,1.0,130,114.0
395,True,1.0,99,91.0
396,True,1.0,105,92.0
397,True,1.0,99,94.0
398,True,1.0,111,102.0
399,True,1.0,105,102.0
400,True,1.0,82,77.0
401,True,1.0,129,122.0
402,True,1.0,113,103.0
403,True,1.0,119,110.0
404,True,1.0,103,99.0
405,True,1.0,137,117.0
406,True,1.0,128,110.0
407,True,1.0,81,78.0
408,True,1.0,115,106.0
409,True,1.0,131,112.0
410,True,1.0,122,110.0
411,True,1.0,131,111.0
412,True,1.0,85,78.0
413,True,1.0,133,106.0
414,True,1.0,105,100.0
415,True,1.0,118,105.0
416,True,1.0,118,110.0
417,True,1.0,126,111.0
418,True,1.0,126,107.0
419,True,1.0,117,101.0
420,True,1.0,107,103.0
421,True,1.0,112,86.0
422,True,1.0,98,84.0
423,True,1.0,160,126.0
424,True,1.0,112,100.0
425,True,1.0,105,101.0
426,True,1.0,89,75.0
427,True,1.0,122,113.0
428,True,1.0,103,93.0
429,True,1.0,111,101.0
430,True,1.0,78,68.0
431,True,1.0,108,
432,True,1.0,113,99.0
433,True,1.0,118,105.0
434,True,1.0,129,96.0
435,True,1.0,93,84.0
436,True,1.0,138,104.0
437,True,1.0,135,118.0
438,True,1.0,109,101.0
439,True,1.0,126,98.0
440,True,1.0,112,102.0
441,True,1.0,99,94.0
442,True,1.0,136,111.0
443,True,1.0,117,106.0
444,True,1.0,165,123.0
445,True,1.0,112,110.0
446,True,1.0,108,104.0
447,True,1.0,125,111.0
448,True,1.0,111,107.0
449,True,1.0,132,113.0
450,True,1.0,123,106.0
451,True,1.0,100,96.0
452,True,1.0,70,63.0
453,True,1.0,116,105.0
454,True,1.0,105,95.0
455,True,1.0,139,120.0
456,True,1.0,101,88.0
457,True,1.0,104,95.0
458,True,1.0,104,89.0
459,True,1.0,109,101.0
460,True,1.0,97,83.0
461,True,1.0,117,105.0
462,True,1.0,103,100.0
463,True,1.0,122,105.0
464,True,1.0,99,97.0
465,True,1.0,120,105.0
466,True,1.0,101,98.0
467,True,1.0,126,109.0
468,True,1.0,133,105.0
469,True,1.0,108,90.0
470,True,1.0,107,96.0
471,True,1.0,129,115.0
472,True,1.0,119,108.0
473,True,1.0,118,106.0
474,True,1.0,111,103.0
475,True,1.0,111,106.0
476,True,1.0,146,118.0
477,True,1.0,110,103.0
478,True,1.0,149,112.0
479,True,1.0,103,97.0
480,True,1.0,143,116.0
481,True,1.0,115,97.0
482,True,1.0,104,101.0
483,True,1.0,125,109.0
484,True,1.0,102,95.0
485,True,1.0,104,100.0
486,True,1.0,123,106.0
487,True,1.0,111,102.0
488,True,1.0,116,105.0
489,True,1.0,124,108.0
490,True,1.0,129,111.0
491,True,1.0,120,103.0
492,True,1.0,115,105.0
493,True,1.0,111,103.0
494,True,1.0,104,99.0
495,True,1.0,106,98.0
496,True,1.0,112,98.0
497,True,1.0,111,99.0
498,True,1.0,119,99.0
499,True,1.0,109,97.0
500,True,1.0,120,107.0
501,True,1.0,112,104.0
502,True,1.0,124,109.0
503,True,1.0,143,116.0
504,True,1.0,123,109.0
505,True,1.0,98,95.0
506,True,1.0,113,107.0
507,True,1.0,101,97.0
508,True,1.0,132,110.0
509,True,1.0,117,104.0
510,True,1.0,110,103.0
511,True,1.0,109,101.0
512,True,1.0,104,95.0
513,True,1.0,131,106.0
514,True,1.0,106,102.0
515,True,1.0,112,104.0
516,True,1.0,126,93.0
517,True,1.0,127,112.0
518,True,1.0,133,113.0
519,True,1.0,117,108.0
520,True,1.0,122,110.0
521,True,1.0,115,99.0
522,True,1.0,124,115.0
523,True,1.0,120,106.0
524,True,1.0,104,100.0
525,True,1.0,127,105.0
526,True,1.0,98,90.0
527,True,1.0,92,87.0
528,True,1.0,135,116.0
529,True,1.0,112,
530,True,1.0,107,97.0
531,True,1.0,133,112.0
532,True,1.0,102,96.0
533,True,1.0,120,108.0
534,True,1.0,104,92.0
535,True,1.0,104,98.0
536,True,1.0,132,114.0
537,True,1.0,127,111.0
538,True,1.0,122,105.0
539,True,1.0,114,102.0
540,True,1.0,119,110.0
541,True,1.0,124,113.0
542,True,1.0,147,122.0
543,True,1.0,109,101.0
544,True,1.0,117,104.0
545,True,1.0,103,95.0
546,True,1.0,107,99.0
547,True,1.0,122,112.0
548,True,1.0,114,105.0
549,True,1.0,142,120.0
550,True,1.0,144,119.0
551,True,1.0,109,99.0
552,True,1.0,106,101.0
553,True,1.0,118,105.0
