SlackCoeff,CarbonSavings(%),EnergySavings(%),UtilizationRatio,AvgOptMakeSpan
1.0,10.150093984962407,3.044201127819549,56.37,103.59
1.2,18.052574074074073,2.712101851851852,49.42,103.59
1.5,12.31787962962963,4.552074074074074,45.91,103.59
2.0,11.287592592592594,2.805564814814815,31.99,103.59
